submission_id, score, mu, sigma
3590, 26.3389016463, 29.6570536306, 1.10605066145
3594, 11.3423019376, 17.0669185254, 1.90820552927
3598, 14.0164580607, 18.7318489477, 1.57179696234
3599, 16.1557822971, 20.162524729, 1.33558081062
3611, 18.9626477134, 22.7140688086, 1.2504736984
3612, 24.2994548281, 27.4920599641, 1.06420171201
3613, 20.3845727986, 23.2338306022, 0.949752601217
3615, 25.3567629316, 28.8484001687, 1.16387907904
3616, 22.1998080986, 25.35072244, 1.05030478047
3617, 18.0206559792, 22.0911228759, 1.3568222989
3618, 19.4107447364, 23.1282052495, 1.23915350438
3636, 21.4692698187, 25.3769789314, 1.30256970425
3637, 26.0653210262, 29.4404348286, 1.12503793415
3642, 26.2322207988, 29.9048052275, 1.22419480956
3644, 24.8813373394, 28.0401854967, 1.05294938576
3645, 25.1984248811, 28.6520895873, 1.15122156871
3646, 16.9414025079, 21.043955687, 1.36751772636
3647, 20.5254096914, 24.4783922417, 1.31766085012
3649, 18.4850437813, 23.4698554578, 1.66160389217
3656, 18.2006074349, 22.1247661581, 1.30805290772
3675, 23.6173143319, 27.2932072828, 1.2252976503
3677, 25.2518142285, 29.8466875745, 1.53162444867
3691, 28.2360095447, 33.0525192169, 1.60550322407
3706, 20.6728884923, 25.1374753591, 1.48819562226
3712, 23.4047266742, 27.7374995571, 1.44425762761
3713, 24.7733593323, 29.0293629133, 1.41866786035
3722, 16.0924965627, 20.8986989958, 1.60206747769
3724, 19.8012361438, 24.3770267906, 1.52526354894
3725, 19.4532435659, 24.5893618663, 1.71203943348
3727, 18.1036192998, 23.7523969027, 1.88292586762
3743, 18.7485158918, 22.9509438564, 1.40080932153
3754, 19.9442417994, 24.4435501584, 1.499769453
3755, 20.1607944343, 25.8487315809, 1.89597904885
3757, 22.1595694941, 26.9646610789, 1.60169719494
3758, 20.0886513379, 25.2403924306, 1.7172470309
3763, 12.8816390605, 19.0674708028, 2.0619439141
3766, 19.4510191831, 25.0327696264, 1.86058348107
3768, 19.4340769405, 25.8666690255, 2.14419736168
3770, 23.9147328988, 28.3330873463, 1.47278481582
3776, 19.9755236347, 25.895646286, 1.97337421708
3777, 20.1590720036, 25.3656156191, 1.73551453849
3778, 27.9251728696, 32.5406782453, 1.53850179191
3779, 17.5102731805, 22.9889768709, 1.82623456347
3784, 18.2679936524, 24.4748585312, 2.06895495959
3786, 19.7505377742, 27.1436496977, 2.46437064115
3787, 13.6919536411, 20.9991593369, 2.43573523194
3788, 17.7507976198, 22.9976796069, 1.7489606624
3790, 26.7333122888, 31.1410967339, 1.46926148171
3793, 26.3291943577, 30.783584614, 1.48479675207
3796, 19.3102798876, 26.2344724097, 2.30806417405
3798, 18.0380794583, 24.0880278868, 2.01664947615
3808, 17.2827665235, 24.7929973649, 2.50341028049
3809, 20.1135114665, 26.2098367298, 2.0321084211
3811, 20.8696879831, 26.7970646847, 1.97579223386
3812, 12.310764664, 19.46555549, 2.38493027532
3813, 14.3544566196, 21.6282023834, 2.42458192129
3815, 19.274600381, 26.7096016486, 2.47833375588
3816, 15.1088699383, 23.5262155352, 2.80578186564
3818, 17.7043536176, 25.2913567012, 2.52900102785
3819, 11.9467307185, 19.3930795308, 2.48211627076
3820, 14.5082947324, 21.0265946387, 2.17276663544
3821, 3.94459328918, 14.0971283934, 3.38417836808
3825, 16.3764166763, 24.2461974363, 2.62326025332
3826, 15.8247113077, 25.8179979405, 3.3310955443
3852, 20.8648888646, 27.3843646279, 2.17315858776
3857, 22.0273969771, 29.6461213845, 2.53957480247
3864, 25.7476409049, 32.7024099864, 2.31825636052
3870, 11.9449590552, 21.4155821816, 3.15687437547
3871, 12.5187531324, 20.6196053587, 2.70028407545
3876, 9.36325545374, 21.1357740279, 3.92417285804
3877, 15.6436609163, 33.6438149671, 6.00005135025
3878, 10.8993819284, 25.6579596643, 4.91952591195
3879, 9.72305323231, 23.4070965396, 4.56134776911
3880, 8.1792666034, 24.8198539186, 5.54686243841
3881, 0.50294539095, 21.4158471259, 6.97096724497
3882, 4.56674095893, 21.2195018961, 5.55092031239
3883, 0.242913546986, 17.6493596826, 5.80214871187
3884, 7.60303075989, 23.0184732902, 5.13848084343
3885, 6.86432486185, 25.8395704812, 6.32508187313
3886, -0.801308294703, 19.6044229083, 6.80191040101
3887, 6.25074663806, 25.0457533167, 6.26500222621
3888, 0.649285723412, 22.589632402, 7.31344889287
3890, -0.910258781978, 20.60416798, 7.17147558733
3530, 30.1795168296, 32.6215108021, 0.813997990841
3532, 29.7315225146, 32.2190151623, 0.829164215881
3535, 28.9940347595, 31.520271205, 0.842078815158
3552, 25.8923959376, 28.819821843, 0.975808635131
3553, 28.0218982226, 30.8405775139, 0.939559763775
3560, 26.8736196036, 29.7998255683, 0.975401988236
3561, 25.5564153865, 28.5944148013, 1.01266647158
3572, 26.9230600161, 30.2862823861, 1.12107412334
